date	day_of_week	visitor_team	home_team	visitor_score	home_score	day_night	attendance	duration_of_game	visitor_hits	visitor_pitchers_used	visitor_errors	home_hits	home_pitchers_used	home_errors
20100405	Mon	SFN	HOU	5	2	N	43836	154	10	4	0	9	4	0
20100406	Tue	SFN	HOU	3	0	N	24237	158	8	5	0	4	4	1
20100407	Wed	SFN	HOU	10	4	D	21599	181	19	3	1	7	6	1
20100409	Fri	ATL	SFN	4	5	D	42940	241	11	6	2	9	8	2
20100410	Sat	ATL	SFN	7	2	N	42985	186	10	4	0	6	5	2
20100411	Sun	ATL	SFN	3	6	N	38062	140	6	3	2	8	2	0
20100412	Mon	PIT	SFN	3	9	N	26011	181	7	4	0	12	4	0
20100413	Tue	PIT	SFN	6	5	N	28030	179	9	4	0	11	4	1
20100414	Wed	PIT	SFN	0	6	D	29028	128	3	3	0	10	2	0
20100416	Fri	SFN	LAN	8	10	N	49319	178	8	3	0	12	3	0
20100417	Sat	SFN	LAN	9	0	D	44734	185	12	4	0	8	5	2
20100418	Sun	SFN	LAN	1	2	D	50433	156	4	2	0	5	5	0
20100419	Mon	SFN	SDN	2	3	N	17087	172	10	4	0	10	4	1
20100420	Tue	SFN	SDN	0	1	N	17822	147	6	2	0	1	3	0
20100421	Wed	SFN	SDN	2	5	D	14906	162	7	4	2	9	3	0
20100423	Fri	SLN	SFN	1	4	N	42860	155	8	3	2	7	3	0
20100424	Sat	SLN	SFN	0	2	N	41785	146	4	1	0	7	2	0
20100425	Sun	SLN	SFN	2	0	D	40230	168	9	3	0	9	5	1
20100426	Mon	PHI	SFN	1	5	N	30035	164	4	2	0	10	4	0
20100427	Tue	PHI	SFN	2	6	N	31792	152	5	3	1	12	3	0
20100428	Wed	PHI	SFN	7	6	D	32369	216	8	6	1	17	4	1
20100430	Fri	COL	SFN	2	5	N	37144	153	6	3	0	7	3	0
20100501	Sat	COL	SFN	1	6	D	39211	161	3	4	1	10	2	0
20100502	Sun	COL	SFN	4	1	D	41831	190	8	4	1	4	4	1
20100504	Tue	SFN	FLO	9	6	N	13690	231	15	6	0	9	6	1
20100505	Wed	SFN	FLO	3	2	N	11633	162	7	3	0	9	4	1
20100506	Thu	SFN	FLO	6	3	N	12804	174	9	5	0	5	4	2
20100507	Fri	SFN	NYN	4	6	N	34681	166	11	3	0	8	3	3
20100508	Sat	SFN	NYN	4	5	D	36764	212	10	4	0	7	6	0
20100509	Sun	SFN	NYN	6	5	D	35641	225	6	5	1	11	5	0
20100511	Tue	SDN	SFN	3	2	N	33249	205	8	5	0	8	5	1
20100512	Wed	SDN	SFN	5	2	N	30924	149	7	3	0	8	4	0
20100513	Thu	SDN	SFN	1	0	D	32861	126	5	1	1	1	2	3
20100514	Fri	HOU	SFN	2	8	N	38650	163	7	4	0	12	3	0
20100515	Sat	HOU	SFN	1	2	D	40060	155	5	2	0	7	2	0
20100516	Sun	HOU	SFN	3	4	D	40582	131	9	1	0	5	3	0
20100517	Mon	SFN	SDN	1	3	N	20558	177	4	4	0	8	3	0
20100518	Tue	SFN	SDN	7	6	N	19565	247	18	6	0	12	8	0
20100519	Wed	SFN	ARI	1	13	N	17073	166	4	3	0	11	2	0
20100520	Thu	SFN	ARI	7	8	N	18607	194	11	5	0	9	5	1
20100521	Fri	SFN	OAK	1	6	N	33369	151	8	3	0	11	3	0
20100522	Sat	SFN	OAK	0	1	D	35067	140	3	1	1	5	2	0
20100523	Sun	SFN	OAK	0	3	D	35067	162	3	4	0	6	5	0
20100525	Tue	WAS	SFN	2	4	N	27981	148	4	4	0	9	4	0
20100526	Wed	WAS	SFN	7	3	N	30230	168	8	4	1	7	5	1
