date	opponent	innings_pitched	hits	homeruns	runs	earned_runs	walks	strike_outs	hit_by_pitches	doubles	triples	wins	losses	earned_run_average
20100405	HOU	7	4	0	0	0	0	7	0	0	0	1	0	0
20100411	ATL	7	5	1	2	2	1	10	0	2	0	1	0	1.29
20100417	LAN	6	4	0	0	0	2	7	0	0	0	1	0	0.9
20100423	SLN	7	6	0	1	1	3	8	0	1	0	1	0	1
20100428	PHI	8.1	3	1	2	2	1	11	0	1	0	0	0	1.27
20100504	FLO	7	5	1	3	3	1	13	0	0	0	0	0	1.7
20100509	NYN	6	7	0	2	2	2	8	0	0	0	0	0	1.86
20100515	HOU	8	4	0	1	1	5	5	0	1	0	1	0	1.76
20100520	ARI	5	5	1	5	5	5	6	0	1	1	0	0	2.35
20100526	WAS	4.2	6	0	6	6	5	5	1	1	0	0	1	3
20100531	COL	5.2	6	0	4	3	5	3	0	1	0	0	1	3.14
20100606	PIT	7	6	1	3	3	2	6	0	2	0	0	0	3.2
20100611	OAK	8	7	0	2	2	1	7	0	1	1	1	0	3.12
20100616	BAL	6	8	0	2	2	4	10	0	0	0	1	0	3.11
20100622	HOU	8	7	0	1	0	2	7	0	1	0	1	0	2.86
20100627	BOS	3	5	1	4	4	3	4	0	1	0	0	1	3.13
20100702	COL	6	9	1	4	4	4	4	0	2	1	0	1	3.28
20100707	MIL	7	4	1	1	1	2	10	0	1	0	1	0	3.16
20100715	NYN	9	6	0	0	0	1	5	0	0	0	1	0	2.94
20100720	LAN	4.2	7	1	5	5	3	2	1	2	0	0	0	3.18
20100725	ARI	8	9	0	2	2	1	5	0	4	0	0	0	3.12
20100730	LAN	7	7	1	2	2	2	9	2	2	0	1	0	3.1
20100805	ATL	6.1	6	2	3	3	3	7	0	1	0	0	1	3.15
20100810	CHN	4	8	1	6	6	1	4	0	0	0	0	1	3.41
20100815	SDN	3.2	8	0	6	5	3	6	0	0	0	0	1	3.62
20100821	SLN	5.1	6	1	4	4	2	4	0	1	1	0	1	3.72
20100827	ARI	6	5	1	4	4	4	6	0	1	1	0	1	3.8
20100901	COL	8	5	1	1	1	1	9	0	0	0	1	0	3.68
20100907	ARI	6.2	5	1	3	3	0	11	0	0	2	1	0	3.69
20100912	SDN	7	7	0	1	1	1	9	1	0	1	1	0	3.6
20100918	MIL	5	6	0	2	2	2	3	0	0	0	0	1	3.6
20100924	COL	8	2	0	1	1	0	9	0	1	0	1	0	3.51
20100929	ARI	7	6	1	1	1	4	11	0	0	0	1	0	3.43
