date	opponent	at_bats	runs	hits	doubles	triples	homeruns	runs_batted_in	walks	strike_outs	hit_by_pitches	average	on_base_percentage	slugging_percentage
20100529	ARI	4	0	3	0	0	0	3	0	0	0	0.75	0.75	0.75
20100530	ARI	5	0	3	2	0	0	1	0	0	0	0.667	0.667	0.889
20100531	COL	3	0	0	0	0	0	0	0	1	0	0.5	0.5	0.667
20100601	COL	4	0	1	0	0	0	0	0	0	0	0.438	0.438	0.563
20100602	COL	3	1	2	0	0	0	0	0	0	0	0.474	0.474	0.579
20100604	PIT	4	2	2	1	0	0	0	0	1	0	0.478	0.478	0.609
20100605	PIT	4	0	1	1	0	0	0	0	1	0	0.444	0.444	0.593
20100606	PIT	3	0	1	0	0	0	0	1	0	0	0.433	0.452	0.567
20100607	CIN	3	1	2	0	0	0	0	0	0	1	0.455	0.486	0.576
20100608	CIN	3	1	1	0	0	0	0	1	0	0	0.444	0.487	0.556
20100609	CIN	4	1	2	0	0	1	2	0	0	0	0.45	0.488	0.625
20100610	CIN	5	1	2	0	0	0	0	0	1	0	0.444	0.479	0.6
20100611	OAK	4	0	1	0	1	0	1	0	0	0	0.429	0.462	0.612
20100612	OAK	4	0	0	0	0	0	0	0	0	0	0.396	0.429	0.566
20100613	OAK	4	0	0	0	0	0	0	0	0	0	0.368	0.4	0.526
20100614	BAL	4	1	1	0	0	0	0	0	1	0	0.361	0.391	0.508
20100615	BAL	3	0	0	0	0	0	0	1	0	0	0.344	0.382	0.484
20100618	TOR	4	0	0	0	0	0	0	0	1	0	0.324	0.361	0.456
20100619	TOR	3	0	0	0	0	0	0	0	0	0	0.31	0.347	0.437
20100620	TOR	5	1	1	0	0	0	0	0	2	0	0.303	0.338	0.421
20100624	HOU	4	0	1	0	0	0	0	0	0	0	0.3	0.333	0.413
20100625	BOS	4	1	3	0	0	0	1	0	0	0	0.321	0.352	0.429
20100626	BOS	3	0	0	0	0	0	2	0	0	0	0.31	0.337	0.414
20100627	BOS	4	0	0	0	0	0	0	0	0	0	0.297	0.323	0.396
20100628	LAN	1	0	0	0	0	0	0	0	1	0	0.293	0.32	0.391
20100629	LAN	1	0	0	0	0	0	0	0	0	0	0.29	0.316	0.387
20100630	LAN	4	0	1	0	0	0	0	0	3	0	0.289	0.314	0.381
20100701	COL	4	2	2	0	0	1	1	0	0	0	0.297	0.321	0.416
20100702	COL	3	0	2	0	0	0	0	0	0	0	0.308	0.33	0.423
20100703	COL	2	1	0	0	0	0	0	2	1	0	0.302	0.336	0.415
20100704	COL	4	0	1	0	0	0	0	0	0	0	0.3	0.333	0.409
20100705	MIL	4	2	2	0	0	1	1	0	0	0	0.307	0.339	0.439
20100706	MIL	3	0	1	0	0	0	1	0	1	1	0.308	0.341	0.436
20100707	MIL	4	3	4	0	0	2	6	1	0	0	0.331	0.366	0.504
20100708	MIL	4	1	2	0	0	1	1	1	0	0	0.336	0.375	0.528
20100709	WAS	4	0	1	0	0	0	0	0	1	0	0.333	0.371	0.519
20100710	WAS	5	2	4	1	0	1	3	0	0	0	0.351	0.386	0.56
20100711	WAS	3	1	1	0	1	0	2	1	1	0	0.35	0.389	0.569
20100715	NYN	4	1	2	0	0	0	1	0	0	0	0.355	0.392	0.567
20100716	NYN	4	0	1	1	0	0	0	0	0	0	0.352	0.389	0.566
20100717	NYN	4	2	2	1	0	1	1	0	1	0	0.356	0.391	0.591
20100718	NYN	4	0	1	0	0	0	1	0	1	0	0.353	0.386	0.582
20100719	LAN	4	1	1	0	0	0	1	1	2	0	0.35	0.386	0.573
20100720	LAN	5	1	2	0	0	0	1	0	1	0	0.352	0.386	0.568
20100721	LAN	4	0	1	0	0	0	0	0	0	0	0.349	0.383	0.56
