date	opponent	at_bats	runs	hits	doubles	triples	homeruns	runs_batted_in	walks	strike_outs	hit_by_pitches	average	on_base_percentage	slugging_percentage
20100823	CIN	1	1	1	0	0	0	0	0	0	0	1	1	1
20100824	CIN	5	2	2	0	0	0	1	0	0	0	0.5	0.5	0.5
20100825	CIN	3	1	1	0	0	0	0	0	2	0	0.444	0.444	0.444
20100829	ARI	3	0	0	0	0	0	1	0	1	0	0.333	0.308	0.333
20100830	COL	3	0	0	0	0	0	0	0	2	0	0.267	0.25	0.267
20100831	COL	0	0	0	0	0	0	0	1	0	0	0.267	0.294	0.267
20100901	COL	0	0	0	0	0	0	0	0	0	0	0.267	0.294	0.267
20100904	LAN	3	1	1	0	0	0	0	1	1	0	0.278	0.333	0.278
20100905	LAN	1	0	0	0	0	0	0	0	1	0	0.263	0.318	0.263
20100906	ARI	3	0	0	0	0	0	0	0	1	1	0.227	0.308	0.227
20100907	ARI	0	0	0	0	0	0	0	1	0	0	0.227	0.333	0.227
20100908	ARI	3	0	0	0	0	0	0	1	0	0	0.2	0.323	0.2
20100909	SDN	1	0	0	0	0	0	0	0	1	0	0.192	0.313	0.192
20100910	SDN	1	0	0	0	0	0	0	0	1	0	0.185	0.303	0.185
20100912	SDN	0	1	0	0	0	0	0	0	0	0	0.185	0.303	0.185
20100914	LAN	4	0	1	1	0	0	0	0	1	0	0.194	0.297	0.226
20100915	LAN	4	0	0	0	0	0	0	0	2	0	0.171	0.268	0.2
20100916	LAN	0	0	0	0	0	0	0	0	0	0	0.171	0.268	0.2
20100917	MIL	3	0	1	0	0	0	0	0	0	0	0.184	0.273	0.211
20100918	MIL	3	0	1	0	0	0	0	0	1	0	0.195	0.277	0.22
20100919	MIL	5	0	1	0	0	0	0	0	2	0	0.196	0.269	0.217
20100921	CHN	3	0	1	0	0	0	0	1	2	0	0.204	0.286	0.224
20100922	CHN	4	0	1	1	0	0	0	0	0	0	0.208	0.283	0.245
20100923	CHN	5	1	3	0	0	1	1	0	1	0	0.241	0.308	0.328
20100924	COL	3	0	1	0	0	0	0	0	0	0	0.246	0.309	0.328
20100925	COL	3	1	1	0	0	1	3	0	0	0	0.25	0.31	0.375
20100926	COL	3	2	1	0	0	1	1	2	1	0	0.254	0.329	0.418
20100928	ARI	0	0	0	0	0	0	0	0	0	0	0.254	0.329	0.418
20100929	ARI	0	0	0	0	0	0	0	0	0	0	0.254	0.329	0.418
20100930	ARI	0	0	0	0	0	0	0	0	0	0	0.254	0.329	0.418
20101001	SDN	3	1	3	2	0	0	0	0	0	0	0.286	0.354	0.471
20101002	SDN	2	0	0	0	0	0	0	0	1	0	0.278	0.346	0.458
20101003	SDN	1	0	1	0	0	0	0	0	0	0	0.288	0.354	0.466
